	0
E4E4	5.257818063194413e-38
Met_Met	0.07343573272714354
FrFr	3.481230086741012e-05
IrIr	0.7265358003614929
Isr_Isr	0.30927512259775397
EE1	2.4154045168915887e-23
HE3	4.871946240459831e-23
HE4	2.0238826807936057e-40
HGF_Met	8.732153487316193e-18
PPr	1.576115706524905e-27
FFr	1.334932537401464e-17
EE1E2	2.6374464067014677e-22
EE1Ev3	9.715020867763068e-34
EE1E1	6.627265118880674e-22
EE1E3	1.1990391115295032e-22
EE1E4	1.4308246749513188e-40
E2HE3	1.6796498365005237e-22
E1HE3	1.9621754101592168e-21
HE3E3	8.481879495376088e-23
HE3Ev3	2.2358734539014e-33
HE3E4	3.4841093414784068e-40
E2HE4	7.000416786895414e-40
HE4Ev3	9.346237159130685e-51
E1HE4	8.174769125421306e-39
E3HE4	3.2331370789853433e-40
HE4E4	1.3530225528286833e-57
HGF_Met_Met	6.415220110121286e-17
PPrPr	5.786368249062064e-43
FFrFr	2.503105555132226e-17
IIrIr	1.2710874156732034e-26
INS_Isr_Isr	3.9591239109404664e-25
EE1EE1	2.3873779252325738e-45
EE1HE3	1.9449190584132701e-44
EE1HE4	4.820396202760443e-62
HE3HE3	9.028881250243338e-45
HE3HE4	6.823752383500027e-62
HE4HE4	1.4476796978302575e-79
HGF_Met_HGF_Met	1.253605975024169e-34
PPrPPr	1.241797134627464e-56
FFrFFr	3.672209680588258e-34
IIrIrI	2.3497192449249567e-46
INS_Isr_Isr_INS	4.503569809561413e-35
E1_ppERK	0.49718150435806713
E2_ppERK	0.037627435017754875
E4_ppERK	7.175019244336124e-20
pEE1E2	2.6253169285084786e-22
pEE1Ev3	9.670439723123376e-34
pEE1E1	6.545084924004576e-22
pEE1EE1	2.357773699825623e-45
pEE1E3	1.1934893062315302e-22
pEE1HE3	1.9359169181197833e-44
pEE1E4	1.4242478548149325e-40
pEE1HE4	4.798239144718745e-62
pE2HE3	1.678522082517315e-22
pHE3Ev3	2.234390690479591e-33
pE1HE3	1.9530933594934592e-21
pHE3E4	3.4817848518260753e-40
pHE3HE4	6.819199806220017e-62
pE2HE4	6.9959484199148746e-40
pHE4Ev3	9.340500829251479e-51
pE1HE4	8.13719352401942e-39
pE3HE4	3.2309800431921333e-40
pHE4E4	1.352191532116082e-57
pHE4HE4	1.4467905401224647e-79
pHGF_Met_Met	6.411184615066323e-17
pHGF_Met_HGF_Met	1.2528173997300028e-34
pPPrPPr	1.2407855427641024e-56
pPPrPr	5.78644277706292e-43
pFFrFFr	3.6705751157070166e-34
pFFrFr	2.5017611825250357e-17
pIIrIr	1.2706305080129289e-26
pINS_Isr_Isr	3.9561100497319473e-25
pIIrIrI	2.3492645371889005e-46
pINS_Isr_Isr_INS	4.501981208767939e-35
pIIrIr_IRS	9.469566236734354e-27
pINS_Isr_Isr_IRS	2.89984555740237e-25
pIIrIrI_IRS	1.7809295613202953e-46
pINS_Isr_Isr_INS_IRS	3.4504722556544844e-35
Sp_EE1E2	4.346519434688426e-24
Sp_EE1Ev3	1.6010335409469687e-35
Sp_EE1E1	1.0921700305307311e-23
Sp_EE1EE1	3.9344036966295872e-47
Sp_EE1E3	1.9760093506319546e-24
Sp_EE1HE3	3.20521615627405e-46
Sp_EE1E4	2.3595738499497046e-42
Sp_EE1HE4	7.949325003286254e-64
Sp_E2HE3	2.7680565403833272e-24
Sp_HE3Ev3	3.684698241718258e-35
Sp_E1HE3	3.233641523232418e-23
Sp_HE3E4	5.745620491509794e-42
Sp_HE3HE4	1.1253008862423421e-63
Sp_E2HE4	1.1544408954631786e-41
Sp_HE4Ev3	1.5412855486862965e-52
Sp_E1HE4	1.3480971205083696e-40
Sp_E3HE4	5.33174837522712e-42
Sp_HE4E4	2.2327597062744154e-59
Sp_HE4HE4	2.388963596841234e-81
Sp_HGF_Met_Met	1.0572283815160915e-18
Sp_HGF_Met_HGF_Met	2.0659455398929228e-36
Sp_PPrPPr	2.0464930314930918e-58
Sp_PPrPr	1.2383758268108024e-44
Sp_FFrFFr	6.248765409189634e-36
